,id,quoteId,elementId,projectId,elementName,text,functionality,concept,directives,purpose,quality,control,structure,patterns,codeExamples,environment,reference,nonInformation,knCount,length,Three class
0,32652,448066,451810,8,void setFetchDirection(int direction) throws SQLException,"Gives the driver a hint as to the direction in which rows will be processed in ResultSet objects created using this Statement object. The default value is ResultSet.FETCH_FORWARD.  Note that this method sets the default fetch direction for result sets generated by this Statement object. Each result set has its own methods for getting and setting its own fetch direction.  Parameters: direction - the initial direction for processing rows Throws: SQLException - if a database access error occurs, this method is called on a closed Statement or the given direction is not one of ResultSet.FETCH_FORWARD, ResultSet.FETCH_REVERSE, or ResultSet.FETCH_UNKNOWN Since: 1.2 See Also: getFetchDirection()",1,0,0,0,0,0,1,0,0,0,0,0,2,108,clean
1,32815,452180,455924,8,public InputStream getInputStream(ZipEntry entry) throws IOException,"Returns an input stream for reading the contents of the specified zip file entry.  Closing this ZIP file will, in turn, close all input streams that have been returned by invocations of this method.  Parameters: entry - the zip file entry Returns: the input stream for reading the contents of the specified zip file entry. Throws: ZipException - if a ZIP format error has occurred IOException - if an I/O error has occurred IllegalStateException - if the zip file has been closed",1,0,0,0,0,0,0,0,0,0,0,1,2,79,mixed
2,37833,270007,273750,7,System.Configuration.StringValidator,"Additional online Documentation: Syntax: public class StringValidator : ConfigurationValidatorBase Summary: Provides validation of a string. Remarks: The StringValidator class is used to ensure that a string meets specific criteria. The criteria for validation is established when an instance of the StringValidator class is created. There are three constructor overloads for the StringValidator class. The StringValidator.StringValidator(Int32) constructor with one parameter verifies the minimum acceptable length of the string being validated. The StringValidator.StringValidator(Int32, Int32) constructor with two parameters ensures that the string being verified adheres to both a minimum and a maximum length. The StringValidator.StringValidator(Int32, Int32, String) constructor with three parameters checks both the minimum and the maximum length values of the string being verified, as well as whether specific characters are present in the string being validated. The CanValidate method determines whether the object type being validated matches the expected type. The object being validated is passed as a parameter of the Validate method. Example: The following example demonstrates how to use the StringValidator type. ThreadSafety: Any public static (Shared in Visual Basic) members of this type are thread safe. Any instance members are not guaranteed to be thread safe.",1,0,0,0,0,0,0,1,1,0,0,0,3,194,clean
3,33167,485691,489435,8,public interface ConnectionConsumer ,"For application servers, Connection objects provide a special facility for  creating a ConnectionConsumer (optional). The messages it is to consume are  specified by a Destination and a message selector. In addition, a  ConnectionConsumer must be given a ServerSessionPool to use for processing  its messages.  Normally, when traffic is light, a ConnectionConsumer gets a ServerSession  from its pool, loads it with a single message, and starts it. As traffic  picks up, messages can back up. If this happens, a ConnectionConsumer can  load each ServerSession with more than one message. This reduces the thread  context switches and minimizes resource use at the expense of some  serialization of message processing.  See Also:     Connection.createConnectionConsumer(javax.jms.Destination,     java.lang.String, javax.jms.ServerSessionPool, int),      Connection.createDurableConnectionConsumer(javax.jms.Topic,     java.lang.String, java.lang.String, javax.jms.ServerSessionPool, int),      QueueConnection.createConnectionConsumer(javax.jms.Queue,     java.lang.String, javax.jms.ServerSessionPool, int),      TopicConnection.createConnectionConsumer(javax.jms.Topic,     java.lang.String, javax.jms.ServerSessionPool, int),      TopicConnection.createDurableConnectionConsumer(javax.jms.Topic,     java.lang.String, java.lang.String, javax.jms.ServerSessionPool, int)",1,1,1,1,0,0,0,0,0,0,0,0,4,175,clean
4,38382,222871,225824,7,System.Data.Design.TypedDataSetGenerator,"Additional online Documentation: Syntax: public sealed class TypedDataSetGenerator Summary: Generates a strongly typed DataSet class. Remarks: The TypedDataSetGenerator class takes information provided (for example, an XML schema) and creates a typed dataset class. ThreadSafety: Any public static (Shared in Visual Basic) members of this type are thread safe. Any instance members are not guaranteed to be thread safe.",1,0,0,0,0,0,1,0,0,0,0,0,2,58,clean
5,38595,230514,233485,7,System.Drawing.Imaging.PixelFormat,"Additional online Documentation: Syntax: public enum PixelFormat Summary: Specifies the format of the color data for each pixel in the image. Remarks: The pixel format defines the number of bits of memory associated with one pixel of data. The format also defines the order of the color components within a single pixel of data. PixelFormat48bppRGB, PixelFormat64bppARGB, and PixelFormat64bppPARGB use 16 bits per color component (channel). GDI+ version 1.0 and 1.1 can read 16-bits-per-channel images, but such images are converted to an 8-bits-per-channel format for processing, displaying, and saving. Each 16-bit color channel can hold a value in the range 0 through 2^13. Some of the pixel formats contain premultiplied color values. Premultiplied means that the color values have already been multiplied by an alpha value.",1,0,0,0,0,0,1,0,0,0,0,1,3,127,mixed
6,32780,451075,454819,8,public final Thread getFirstQueuedThread(),"Returns the first (longest-waiting) thread in the queue, or null if no threads are currently queued.  In this implementation, this operation normally returns in constant time, but may iterate upon contention if other threads are concurrently modifying the queue.  Returns: the first (longest-waiting) thread in the queue, or null if no threads are currently queued",1,0,0,0,1,0,0,0,0,0,0,0,2,57,clean
7,37680,208167,211093,7,System.Activities.VariableModifiers,Additional online Documentation: Syntax: [FlagsAttribute] public enum VariableModifiers Summary: Specifies the way the workflow runtime treats Variable objects.,1,0,0,0,0,0,1,0,0,0,0,0,2,18,clean
8,32978,482129,485873,8,java.lang.String getScript(ClientBehaviorContext behaviorContext),"Return the script that implements this ClientBehavior's client-side logic.  ClientBehavior.getScript() implementations are allowed to return null to indicate that no script is required for this particular getScript() call. For example, a ClientBehavior implementation may return null if the Behavior is disabled.  Parameters: behaviorContext - the ClientBehaviorContext that provides properties that might influence this getScript() call. Note that ClientBehaviorContext instances are short-lived objects that are only valid for the duration of the call to getScript(). ClientBehavior implementations must not hold onto references to ClientBehaviorContexts. Returns: script that provides the client-side behavior, or null if no script is required. Throws: java.lang.NullPointerException - if behaviorContext is null Since: 2.0",1,1,1,0,0,0,0,0,0,0,0,0,3,110,clean
9,40288,268084,271798,7,System.Workflow.ComponentModel.Design.TypeBrowserDialog,"Additional online Documentation: Syntax: public sealed class TypeBrowserDialog : Form, ISite, IServiceProvider Summary: Represents a dialog box that allows the user to choose a type. This class cannot be inherited. Remarks: This class prompts the user to browse a list of Windows Workflow Foundation and .NET Framework namespaces and their contained types and select a single type. ThreadSafety: Any public static (Shared in Visual Basic) members of this type are thread safe. Any instance members are not guaranteed to be thread safe.",1,0,0,1,0,0,1,1,0,0,0,0,4,81,clean
10,38450,224987,227942,7,"System.Windows.Forms.Design.Behavior.Behavior.OnGiveFeedback(System.Windows.Forms.Design.Behavior.Glyph,System.Windows.Forms.GiveFeedbackEventArgs)","Additional online Documentation: Syntax: public virtual void OnGiveFeedback( Glyph g, GiveFeedbackEventArgs e ) Parameters gType: System.Windows.Forms.Design.Behavior.Glyph A Glyph on which to invoke drag-and-drop behavior. eType: System.Windows.Forms.GiveFeedbackEventArgs A GiveFeedbackEventArgs that contains the event data. Summary: Permits custom drag-and-drop feedback behavior. Remarks: Notes to Inheritors You can override the OnGiveFeedback method so that a Behavior can specify its own drag-and-drop rules.",0,0,0,1,0,0,0,0,0,0,1,1,3,72,mixed
11,32533,445559,449303,8,public interface ActivationMonitor   ,"An ActivationMonitor is specific to an ActivationGroup and is obtained when  a group is reported active via a call to ActivationSystem.activeGroup  (this is done internally). An activation group is responsible for informing  its ActivationMonitor when either: its objects become active or inactive,  or the group as a whole becomes inactive.  Since:     1.2 See Also:     Activator, ActivationSystem, ActivationGroup",0,0,0,0,0,0,1,0,0,0,0,0,1,57,clean
12,33961,467374,471118,8,public class BasicSplitPaneUI.KeyboardEndHandler   ,Implementation of an ActionListener that the JSplitPane UI uses for  handling specific key presses.  This class should be treated as a protected inner class. Instantiate it  only within subclasses of BasicSplitPaneUI.,1,0,1,0,0,0,0,0,0,0,0,0,2,31,clean
